10023867351, Planar, PSS-co-MA/PEG, Acrylate, Circular, KCl, DI water, DMSO, NaCl, nM, nM, 2,33, 3,0, 4,0, 3,0, 2,0, 4,0, 4,0, 1,0
Number of channels: 18
00:00:01, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 5, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 6, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 7, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 8, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 9, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 10, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 11, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 12, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 13, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 14, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 5, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 6, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 7, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 8, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 9, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 10, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 11, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 12, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 13, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 14, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 5, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 6, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 7, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 8, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 9, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 10, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 11, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 12, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 13, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 14, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:02, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 5, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
